horse,horseLabel,mother,father,birthyear,deathyear,genderLabel
http://www.wikidata.org/entity/Q7631793,Subotica,,,1988,,male organism
http://www.wikidata.org/entity/Q7632507,Subzero,,http://www.wikidata.org/entity/Q16852138,1988,,
http://www.wikidata.org/entity/Q7632566,Success Express,,,1985,,male organism
http://www.wikidata.org/entity/Q7632652,Successor,http://www.wikidata.org/entity/Q6880554,http://www.wikidata.org/entity/Q4939078,1964,,male organism
http://www.wikidata.org/entity/Q7634750,Sugar Bars,,http://www.wikidata.org/entity/Q7797337,1951,,
http://www.wikidata.org/entity/Q7635597,Suivez Moi,,,1984,,
http://www.wikidata.org/entity/Q7635985,Sulamani,,http://www.wikidata.org/entity/Q11291072,1999,2017,male organism
http://www.wikidata.org/entity/Q7636337,Sulk,,,1999,,
http://www.wikidata.org/entity/Q7636587,Sultan,http://www.wikidata.org/entity/Q61992502,http://www.wikidata.org/entity/Q7448391,1816,,male organism
http://www.wikidata.org/entity/Q7637371,Summer Mood,,http://www.wikidata.org/entity/Q7285398,1981,,
http://www.wikidata.org/entity/Q7637446,Summer Squall,http://www.wikidata.org/entity/Q7979441,http://www.wikidata.org/entity/Q3499831,1987,2009,male organism
http://www.wikidata.org/entity/Q7637461,Summer Tan,,http://www.wikidata.org/entity/Q5705843,1952,,male organism
http://www.wikidata.org/entity/Q7637630,Summerly,,http://www.wikidata.org/entity/Q7637446,2002,,female organism
http://www.wikidata.org/entity/Q7637732,Summing,,http://www.wikidata.org/entity/Q61994233,1978,,male organism
http://www.wikidata.org/entity/Q7638084,Sumthingaboutmaori,,,1998,,
http://www.wikidata.org/entity/Q7638199,Sun Beau,,http://www.wikidata.org/entity/Q7638212,1925,,male organism
http://www.wikidata.org/entity/Q7638212,Sun Briar,,,1915,,male organism
http://www.wikidata.org/entity/Q7638230,Sun Chariot,,http://www.wikidata.org/entity/Q3038706,1939,1963,female organism
http://www.wikidata.org/entity/Q7638452,Sun Princess,,http://www.wikidata.org/entity/Q20810862,1980,,female organism
http://www.wikidata.org/entity/Q7638519,Sun Stream,,http://www.wikidata.org/entity/Q3038706,1942,,female organism
http://www.wikidata.org/entity/Q7639980,Sunfire,,http://www.wikidata.org/entity/Q7083071,1925,,male organism
http://www.wikidata.org/entity/Q7641157,Sunriver,,http://www.wikidata.org/entity/Q7401015,2003,,male organism
http://www.wikidata.org/entity/Q76412111,Scherif d'Elle,,http://www.wikidata.org/entity/Q1679759,1984,,male organism
http://www.wikidata.org/entity/Q7641483,Sunshine Forever,,http://www.wikidata.org/entity/Q7351567,1985,2014,male organism
http://www.wikidata.org/entity/Q7641634,Sunstar,,http://www.wikidata.org/entity/Q61986086,1908,,male organism
http://www.wikidata.org/entity/Q7642453,Super Impose,,,1984,2007,
http://www.wikidata.org/entity/Q7642602,Super Moment,,http://www.wikidata.org/entity/Q4906451,1977,,male organism
http://www.wikidata.org/entity/Q7642728,Super Satin,,http://www.wikidata.org/entity/Q5215867,2005,,male organism
http://www.wikidata.org/entity/Q7642732,Super Saver,,http://www.wikidata.org/entity/Q6760950,2007,,male organism
http://www.wikidata.org/entity/Q76428388,Quelmec du Gery,,,2004,,male organism
http://www.wikidata.org/entity/Q7644844,Supreme Court,,http://www.wikidata.org/entity/Q7239482,1948,,male organism
http://www.wikidata.org/entity/Q7645089,Supreme Rock,,,1988,2013,male organism
http://www.wikidata.org/entity/Q76453829,Quaprice Bois Margot,,http://www.wikidata.org/entity/Q2123116,,,male organism
http://www.wikidata.org/entity/Q7646105,Surfers Paradise,,,1987,,
http://www.wikidata.org/entity/Q7646532,Surplice,http://www.wikidata.org/entity/Q5189804,http://www.wikidata.org/entity/Q7828730,1845,,male organism
http://www.wikidata.org/entity/Q7646893,Surround,,,1973,,female organism
http://www.wikidata.org/entity/Q7647270,Survivor,,,1870,,male organism
http://www.wikidata.org/entity/Q7647481,Susan's Girl,,http://www.wikidata.org/entity/Q7268310,1969,,female organism
http://www.wikidata.org/entity/Q76510564,Urhelia Lutterbach,,http://www.wikidata.org/entity/Q75476988,2008,,female organism
http://www.wikidata.org/entity/Q76511910,Sancha LS,,,2003,,female organism
http://www.wikidata.org/entity/Q76513386,Cantando Lyngriis,,http://www.wikidata.org/entity/Q1048383,2001,,male organism
http://www.wikidata.org/entity/Q7653000,Swain,,http://www.wikidata.org/entity/Q3336192,1992,,male organism
http://www.wikidata.org/entity/Q7653064,Swale,http://www.wikidata.org/entity/Q104192590,http://www.wikidata.org/entity/Q1457136,1981,1984,male organism
http://www.wikidata.org/entity/Q76531268,Babouche,,http://www.wikidata.org/entity/Q2881504,2000,,male organism
http://www.wikidata.org/entity/Q76533784,Louis 162,,,2000,,male organism
http://www.wikidata.org/entity/Q7653826,Swaps,,http://www.wikidata.org/entity/Q6399291,1952,,male organism
http://www.wikidata.org/entity/Q76539074,Ideo du Thot,,,1996,,male organism
http://www.wikidata.org/entity/Q7655117,Sweep,http://www.wikidata.org/entity/Q61995291,http://www.wikidata.org/entity/Q4885361,1907,,male organism
http://www.wikidata.org/entity/Q7655299,Sweet Embrace,,http://www.wikidata.org/entity/Q7812779,1964,,female organism
http://www.wikidata.org/entity/Q7655498,Sweet Solera,,,1958,,female organism
http://www.wikidata.org/entity/Q7655564,Sweet Vendetta,,,2005,,female organism
http://www.wikidata.org/entity/Q7655653,Sweetbriar,,http://www.wikidata.org/entity/Q61988090,1769,,male organism
http://www.wikidata.org/entity/Q76557066,Kassave,,http://www.wikidata.org/entity/Q76557537,1998,,female organism
http://www.wikidata.org/entity/Q7655747,Sweetmeat,http://www.wikidata.org/entity/Q61978830,http://www.wikidata.org/entity/Q61970541,1842,,male organism
http://www.wikidata.org/entity/Q76557537,French Cancan,,http://www.wikidata.org/entity/Q2123116,1993,,male organism
http://www.wikidata.org/entity/Q7655755,Sweetnorthernsaint,,,2003,,male organism
http://www.wikidata.org/entity/Q76558553,Mesange du Rouet,,,,,female organism
http://www.wikidata.org/entity/Q7656087,Swift Temper,,http://www.wikidata.org/entity/Q3105301,2004,,male organism
http://www.wikidata.org/entity/Q76562360,Air Jordan,,http://www.wikidata.org/entity/Q76597764,1996,,male organism
http://www.wikidata.org/entity/Q7659238,Swoon's Son,,,1953,,male organism
